id,aid,condition,block,trial,event,stimulus_h,stimulus_s,pd,classification,time,score,human_p,system_p,system_output
2,Student,2,3,31,Orange,0.4867428790134256,-0.7152978091072966,False,Blue,07:28:10.820810,28.0,0.73,0.39,Orange
2,Student,2,3,32,Orange,1.2673971032014864,-0.249971930089206,False,Blue,07:28:12.044935,26.0,0.93,0.88,Orange
2,Student,2,3,33,Blue,0.022090871143659,2.341705546719865,False,Blue,07:28:13.374830,28.0,0.51,0.99,Blue
2,Student,2,3,34,Orange,-0.3438373097613372,-1.2927918270612584,False,Blue,07:28:14.714944,26.0,0.33,0.04,Orange
2,Student,2,3,35,Orange,-1.3314909095039875,-3.3153856261597903,False,Blue,07:28:16.400150,24.0,0.07,0.0,Orange
2,Student,2,3,36,Blue,0.2480533968199499,2.1307122429729803,False,Blue,07:28:17.706583,26.0,0.62,0.99,Blue
2,Student,2,3,37,Blue,-1.182420966757968,2.104647826275436,False,Blue,07:28:19.035696,28.0,0.09,0.86,Blue
2,Student,2,3,38,Orange,-1.3459823750038176,-1.1753050162047385,False,Blue,07:28:20.341371,26.0,0.06,0.01,Orange
2,Student,2,3,39,Blue,3.132245600776496,1.2613567105759578,False,Blue,07:28:21.618163,28.0,1.0,1.0,Blue
2,Student,2,3,40,Orange,-3.143685821173569,-1.000300068389547,False,Blue,07:28:22.932634,26.0,0.0,0.0,Orange
2,Student,2,3,41,Orange,-0.3456366380445219,-0.4657816256258323,False,Blue,07:28:24.292194,24.0,0.33,0.16,Orange
2,Student,2,3,42,Orange,-1.175807191241448,-0.951546652966052,False,Blue,07:28:25.562465,22.0,0.09,0.01,Orange
2,Student,2,3,43,Blue,0.077665217017274,-1.319254567002193,False,Blue,07:28:27.198838,24.0,0.54,0.08,Orange
2,Student,2,3,44,Orange,-1.253737446287133,0.4756152625408372,False,Blue,07:28:29.016233,22.0,0.08,0.17,Blue
2,Student,2,3,45,Blue,-0.3982091629789988,0.1095766116284976,False,Blue,07:28:30.649290,24.0,0.31,0.36,Blue
2,Student,2,3,46,Orange,-1.1283417797339244,-0.6440100724352422,False,Blue,07:28:32.090785,22.0,0.09,0.03,Orange
2,Student,2,3,47,Blue,1.2970275088156025,1.4405925941243607,False,Blue,07:28:33.479754,24.0,0.93,1.0,Blue
2,Student,2,3,48,Blue,1.426000503444232,0.7105149219140308,False,Blue,07:28:34.839363,26.0,0.95,0.99,Blue
2,Student,2,3,49,Blue,-0.2215954157545345,2.340460837273634,False,Blue,07:28:36.215722,28.0,0.39,0.99,Blue
2,Student,2,3,50,Blue,-0.3794646871363241,1.1413769085722247,False,Blue,07:28:37.662511,30.0,0.32,0.82,Blue
2,Student,2,4,1,Orange,-2.453182801607559,-2.2051168510104766,False,Blue,07:28:40.808961,28.0,0.01,0.0,Orange
2,Student,2,4,2,Orange,0.9348662001226256,-0.2907623604670705,True,Orange,07:28:43.189962,29.9,0.87,0.78,Orange
2,Student,2,4,3,Blue,1.2341630114893372,1.1349319706405172,False,Orange,07:28:44.434470,27.9,0.92,0.99,Blue
2,Student,2,4,4,Blue,-0.215621270870949,1.0695321752930134,False,Orange,07:28:45.692813,25.9,0.39,0.85,Blue
2,Student,2,4,5,Blue,0.4371615983708791,-0.3268243837421196,False,Orange,07:28:46.958951,23.9,0.71,0.55,Orange
2,Student,2,4,6,Blue,2.3604051706079168,0.6571978710194053,False,Orange,07:28:48.168796,21.9,0.99,1.0,Blue
2,Student,2,4,7,Blue,2.3967831103396326,0.9701439038130278,False,Orange,07:28:49.413141,19.9,0.99,1.0,Blue
2,Student,2,4,8,Blue,1.689932692620344,1.4408661374417704,False,Orange,07:28:51.084159,17.9,0.97,1.0,Blue
2,Student,2,4,9,Orange,1.1512309154646791,-1.4771796444118968,False,Orange,07:28:52.751235,19.9,0.91,0.34,Orange
2,Student,2,4,10,Orange,-1.2972571472663843,-1.924295543683164,False,Orange,07:28:54.207686,21.9,0.07,0.0,Orange
2,Student,2,4,11,Blue,-0.5669502625571501,1.406478599114655,False,Orange,07:28:55.587676,19.9,0.24,0.84,Blue
2,Student,2,4,12,Orange,-0.575418380261956,-0.8200849118300533,False,Orange,07:28:56.895416,21.9,0.24,0.06,Orange
2,Student,2,4,13,Blue,0.8207208601672041,0.8720096690761162,False,Orange,07:28:58.191281,19.9,0.84,0.97,Blue
2,Student,2,4,14,Orange,-1.86222621909564,-0.7693748752358073,False,Orange,07:28:59.466453,21.9,0.02,0.01,Orange
2,Student,2,4,15,Blue,1.6601185440473452,0.7255600916147583,False,Orange,07:29:00.830995,19.9,0.97,0.99,Blue
2,Student,2,4,16,Orange,0.5932500072032332,-0.4961030907154863,False,Orange,07:29:02.120387,21.9,0.77,0.55,Orange
2,Student,2,4,17,Orange,-1.618536335850178,-0.9638543835092162,False,Orange,07:29:03.485819,23.9,0.04,0.01,Orange
2,Student,2,4,18,Blue,0.5415097123238899,0.3387915391334111,False,Orange,07:29:04.794818,21.9,0.75,0.85,Blue
2,Student,2,4,19,Blue,0.147010905344387,0.0369724155048665,False,Orange,07:29:06.137864,19.9,0.57,0.59,Blue
2,Student,2,4,20,Blue,-0.2536585253989543,0.7799188580297267,False,Orange,07:29:07.455909,17.9,0.38,0.74,Blue
2,Student,2,4,21,Blue,-1.7712378003711708,-1.80905302702236,False,Orange,07:29:08.856886,15.9,0.03,0.0,Orange
2,Student,2,4,22,Blue,1.269921036248569,0.1326001829781107,False,Orange,07:29:10.298966,13.9,0.93,0.94,Blue
2,Student,2,4,23,Blue,0.8943277759113905,2.0562120377555084,False,Orange,07:29:11.646186,11.9,0.86,1.0,Blue
2,Student,2,4,24,Orange,-0.2065778344137325,1.489671928654993,False,Orange,07:29:13.034580,13.9,0.4,0.93,Blue
2,Student,2,4,25,Blue,-1.3525508991468755,0.4465681728543933,False,Orange,07:29:14.491232,11.9,0.06,0.14,Blue
2,Student,2,4,26,Orange,-1.308091506119243,-1.202618205326129,False,Orange,07:29:15.814370,13.9,0.07,0.01,Orange
2,Student,2,4,27,Blue,-0.927278758922322,-0.0575227425523479,False,Orange,07:29:17.235548,11.9,0.14,0.12,Orange
2,Student,2,4,28,Orange,0.7553135964898186,-1.2295419861827923,False,Orange,07:29:18.510715,13.9,0.82,0.28,Orange
2,Student,2,4,29,Orange,0.3315319020951623,-1.8806875522016977,False,Orange,07:29:19.767702,15.9,0.66,0.04,Orange
2,Student,2,4,30,Blue,-0.1796281569194959,1.5812830784176537,False,Orange,07:29:20.981780,13.9,0.41,0.94,Blue
2,Student,2,4,31,Blue,1.871874953000987,1.138765422051264,False,Orange,07:29:22.241151,11.9,0.98,1.0,Blue
2,Student,2,4,32,Blue,1.435390687365812,1.168402757543296,False,Orange,07:29:23.933509,9.9,0.95,0.99,Blue
2,Student,2,4,33,Orange,-2.24077442008416,-0.0125915830918097,False,Orange,07:29:25.290756,11.9,0.01,0.01,Orange
2,Student,2,4,34,Orange,-0.4598405747818688,-2.3421475436535197,False,Orange,07:29:26.640411,13.9,0.29,0.0,Orange
2,Student,2,4,35,Orange,-0.0634608630287204,2.397074816964163,False,Orange,07:29:27.927093,15.9,0.47,0.99,Blue
2,Student,2,4,36,Orange,-0.4097185951937441,-1.80648570632304,False,Orange,07:29:29.179068,17.9,0.31,0.01,Orange
2,Student,2,4,37,Orange,0.8498387077688969,0.6733666929993536,False,Orange,07:29:30.911705,19.9,0.85,0.95,Blue
2,Student,2,4,38,Blue,2.386469211532135,-0.2204727550546832,False,Orange,07:29:32.268475,17.9,0.99,0.99,Orange
2,Student,2,4,39,Orange,-1.900045009929213,-1.9828884244109168,False,Orange,07:29:33.764480,19.9,0.02,0.0,Orange
2,Student,2,4,40,Orange,-3.094529253403716,-2.5195839278638745,False,Orange,07:29:35.143584,21.9,0.0,0.0,Orange
2,Student,2,4,41,Blue,-0.7292856492012321,1.4133824846988627,False,Orange,07:29:36.493743,19.9,0.19,0.8,Blue
2,Student,2,4,42,Orange,-1.2191745614369731,-0.9349410243603712,False,Orange,07:29:38.297401,21.9,0.08,0.01,Orange
2,Student,2,4,43,Blue,0.8687039071434991,1.57115786719416,False,Orange,07:29:39.789158,19.9,0.85,0.99,Blue
2,Student,2,4,44,Blue,-0.9178178815685614,-0.4127939628507437,False,Orange,07:29:41.047620,17.9,0.14,0.07,Orange
2,Student,2,4,45,Orange,-0.8093962281312905,-1.6137426716572816,False,Orange,07:29:42.362438,19.9,0.17,0.01,Orange
2,Student,2,4,46,Orange,-0.582535845691829,-1.9228714443062347,False,Orange,07:29:43.652379,21.9,0.24,0.01,Orange
2,Student,2,4,47,Blue,1.0587110921682212,1.0626917837435972,False,Orange,07:29:44.941893,19.9,0.89,0.99,Blue
2,Student,2,4,48,Orange,-0.5406252646749108,-1.965689543920789,False,Orange,07:29:46.239392,21.9,0.25,0.01,Orange
2,Student,2,4,49,Orange,-1.3608036607413811,-2.465319446804237,False,Orange,07:29:47.975313,23.9,0.06,0.0,Orange
2,Student,2,4,50,Orange,-0.8661010899690893,-3.47867564243173,False,Orange,07:29:49.552765,25.9,0.15,0.0,Orange
